id,title,author,content,dynasty
25,行经孙氏陵,何逊,昔在零陵厌，神器若无依。逐兔争先捷，掎鹿竞因机。呼吸开伯道，叱咤掩江畿。豹变分奇略，虎视肃戎威。长蛇衄巴汉，骥马绝淮淝。交战无内御，重门岂外扉。成功举已弃，凶德愎而违。水龙忽东骛，青盖乃西归。朅来已永久，年代嗳微微。苔石疑文字，荆坟失是非。山莺空曙响，陇月自秋晖。银海终无浪，金凫会不飞。阒寂今如此，望望沾人衣。,六朝
26,与胡兴安夜别,何逊,居人行转轼，客子暂维舟。念此一筵笑，分为两地愁。露湿寒塘草，月映清淮流。方抱新离恨，独守故园秋。,六朝
27,赠王左丞,何逊,櫩外莺啼罢，园里日光斜。游鱼乱水叶，轻燕逐风花。长墟上寒霭，晓树没归霞。九华暮已隐，抱郁徒交加。,六朝
28,赠诸游旧,何逊,弱操不能植，薄伎竞无依。浅智终已矣，令名安可希。扰扰从役倦，屑屑身事微。少壮轻年月，迟暮惜光辉。一涂今未是，万绪昨如非。新知虽已乐，旧爱尽暌违。望乡空引领，极目泪沾衣。旅客长憔悴，春物自芳菲。岸花临水发，江燕绕樯飞。无由下征帆，独与暮潮归。,六朝
29,入摄山栖霞寺诗,江总,净心抱冰雪，暮齿逼桑榆。太息波川迅，悲哉人世拘。岁华皆采穫，冬晚共严枯。濯流济八水，开襟入四衢。玆山灵妙合，当与天地俱。石濑乍深浅，崖烟递有无。缺碑横古隧，盘木卧荒涂。行行备履历，步步辚威纡。高僧迹共远，胜地心相符。樵隐各有得，丹青独不渝。遗风伫芳桂，比德喻生刍。寄言长往客，悽然伤鄙夫。,六朝
30,游摄山栖霞寺诗,江总,霢霂时雨霁，清和孟夏肇。栖宿绿野中，登顿丹霞杪。敬仰高人德，抗志尘物表。三空豁已悟，万有一何小。始从情所寄，冥期谅不少。荷衣步林泉，麦气凉昏晓。乘风面泠泠，候月临皎皎。烟崖憩古石，云路排征鸟。披径怜森沈，攀条惜杳袅。平生忘是非，朽谢岂矜矫。五净自此涉，六尘庶无扰。,六朝
31,于长安归还扬州九月九日行薇山亭赋韵,江总,心逐南云逝，形随北雁来。故乡篱下菊，今日几花开。,六朝
32,襄阳乐,刘诞,朝发襄阳城，暮至大堤宿。大堤诸女儿，花艳惊郎目。,六朝
33,襄阳乐,刘诞,上水郎担篙，下水摇双橹。四角龙子幡，环环当江柱。,六朝
34,襄阳乐,刘诞,江陵三千三，西塞陌中央。但问想随否，何计道里长。,六朝
35,襄阳乐,刘诞,人言襄阳乐，乐作非侬处。乘星冒风流，还侬扬州去。,六朝
36,襄阳乐,刘诞,烂漫女萝草，结曲绕长松。三春虽同色，岁寒非处侬。,六朝
37,襄阳乐,刘诞,黄鹄参天飞，中道郁徘徊。腹中车轮转，欢今定怜谁。,六朝
38,襄阳乐,刘诞,扬州蒲锻环，百钱两三丛。不能买将还，空手揽抱侬。,六朝
39,襄阳乐,刘诞,女萝自微薄，寄托长松表。何惜负霜死，贵得相缠绕。,六朝
40,襄阳乐,刘诞,恶见多情欢，罢侬不相语。莫作乌集林，忽如提侬去。,六朝
41,自江州还入石头,刘峻,洛城何郁郁，杳与云霄半。前望苍龙门，斜瞻白鹤馆。槐垂御沟道，柳缀金堤岸。,六朝
42,登作乐山诗,刘骏,修路轸孤辔，竦石顿飞辕。遂登千寻首，表里望丘原。屯烟扰风穴，积水溺云根。汉潦吐新波，楚山带旧苑。壤草凌故国，拱木秀颓垣。目极情无留，客思空已繁。,六朝
43,丁督护歌六首,刘骏,督护上征去，侬亦思闻许。愿作石尤风，四面断行旅。,六朝
44,丁督护歌六首,刘骏,黄河流无极，洛阳数千里。坎轲我途间，何由见欢子？,六朝
45,丁督护歌六首,刘骏,叔护北征去，相送落星墟。帆樯如芒柽，督护今何渠。,六朝
46,丁督护歌六首,刘骏,闻欢去北征，相送直渎浦。只有泪可出，无复情可吐。,六朝
47,丁督护歌六首,刘骏,督护初征时，侬亦恶闻许。愿作石尤风，四面断行旅。,六朝
48,丁督护歌六首,刘骏,督护北征去，前锋无不平。朱门垂高盖，永世扬功名。,六朝
49,华林都亭曲水联句产柏梁体诗,刘骏,九宫盛事予旒纩。三辅务根诚难亮。策拙枌乡惭恩望。折冲莫效兴民谤。侍禁卫储恩逾量。臣谬叨宠九流旷。喉唇废职方思让。明笔直绳天威谅。,六朝
50,自君之出矣,刘骏,自君之出矣，金翠闇无精。思君如日月，回还昼夜生。,六朝
51,泛宫亭湖,刘删,回舻乘派水，举帆逐分风。滉瀁疑无际，飘扬似度空。樯乌排鸟路，船影没河宫。孤石沧波里，匡山苦雾中。寄言千金子，安知万里蓬。,六朝
52,白纻曲,刘铄,仙仙徐动何盈盈，玉腕俱凝若云行。佳人举袖耀青蛾，掺掺擢手映鲜罗。状似明月泛云河，体如轻风动流波。,六朝
53,登景阳楼诗,刘义恭,丹墀设金屏，瑶榭陈王床。温宫冬开燠，清殿夏含霜。弱蕊布遐馥，轻叶振远芳。弥望少无际，肆睇周华疆。象阙对驰道，飞廉瞩方塘。邸寺送晖曜，槐柳自成行。通川溢轻舻，长街盈方箱。顾此爝火微，胡颜厕天光。,六朝
54,寿阳乐,刘铄,可怜八公山，在寿阳，别后莫相忘。,六朝
55,寿阳乐,刘铄,东台百馀尺，凌风云，别后不忘君。,六朝
56,寿阳乐,刘铄,梁长曲水流，明如镜，双林与郎照。,六朝
57,寿阳乐,刘铄,辞家远行去，空为君，明知岁月驶。,六朝
58,寿阳乐,刘铄,笼窗取凉风，弹素琴，一叹复一吟。,六朝
59,寿阳乐,刘铄,夜相思，望不来，人乐我独愁。,六朝
60,寿阳乐,刘铄,长淮何烂漫，路悠悠，得当乐忘忧。,六朝
61,寿阳乐,刘铄,上我长濑桥，望归路，秋风停欲度。,六朝
62,寿阳乐,刘铄,衔泪出伤门，寿阳去，必还当几载。,六朝
63,酬陆长史倕,刘孝绰,王粲始一别，犹且叹风云。况余屡之远，与子亟离群。如何持此念，复为今日分。分悲宛如昨，弦望殊挥霍。行舟虽不见，行程犹可度。度君路应远，期寄新诗返。相望且相思，劳朝复劳晚。薄暮阍人进，果得承芳信。殷勤览妙书，留连披雅韵。冽洲财赋总，慈山行旅镇。已切临睨情，遽动思归引。归欤不可即，前途方未极。览讽欲谖诮，研寻还慨息。来喻勖雕金，比质非所任。虚薄无时用，徘徊守故林。屏居青门外，结宇霸城阴。竹庭已南映，池牖复东临。乔柯贯檐上，垂条拂户阴。条开风暂入，叶合影还沈。帷屏溽早露，阶霤扰昏禽。衡门谢车马，宾席简衣簪。虽愧阳陵曲，宁无流水琴。萧条聊属和，寂寞少知音。平生竟何托，怀抱共君深。一朝四美废，方见百忧侵。曰余滥官守，因之溯庐久。水接浅原阴，山带荆门右。从容少职事，疲病疏僚友。命驾独寻幽，淹留宿庐阜。庐阜擅高名，岧岧凌太清。舒云类紫府，标霞同赤城。北上轮难进，东封马易惊。未若兹山险，车骑息逢迎。山横路似绝，径侧树如倾。蒙笼乍一启，磥硊无暂平。倚岩忽回望，援萝遂上征。乍观秦帝石，复憩周王城。交峰隐玉霤，对涧距金楹。风传凤台琯，云渡洛宾笙。紫书时不至，丹炉且未成。无因追羽翮，及尔宴蓬瀛。蓬瀛不可托，怅然反城郭。时过马鸣院，偶憩鹿园阁。既异人世劳，聊比化城乐。影塔图花树，经台总香药。月殿曜朱幡，风轮和宝铎。园桓即重岭，阶基仍巨壑。朝猿响甍栋，夜水声帷薄。馀景骛登临，方宵尽谈谑。谈谑有名僧，慧义似传灯。远师教逾阐，生公道复弘。小乘非汲引，法善招报能。积迷顿已悟，为欢得未曾。为欢诚已往，坐卧犹怀想。况复心所积，兹地多谐赏。惜哉无轻轴，更泛轮湖上。可思不可见，离念空盈荡。贾生傅南国，平子相东阿。优游匡赞罢，纵横辞赋多。方才幸同贯，无令绝咏歌。幽谷虽云阻，烦君计吏过。,六朝
64,归沐诗,刘孝绰,步出金华省，还望承明庐。壮哉宛洛地，佳丽实皇居。虹霓拖飞阁，兰芷覆清渠。圆渊倒荷芰，方镜写簪裾。白云夏峰尽，青槐秋叶疏。自我从人爵，蟾兔屡盈虚。杀青徒已汗，司举未云书。文昌愧通籍，临邛幸第如。夫君多敬爱，蟠木滥吹嘘。时时释簿领，驺驾入吾庐。自唾诚?玞，无以俪璠玙。但愿长闲暇，酌醴荐焚鱼。,六朝
65,登覆舟山望北湖,刘孝威,紫川通太液，丹岑连少华。堂皇更隐映，松灌杂交加。荇蒲浮新叶，渔舟绕落花。浴童竞浅岸，漂女择平沙。极望伤春目，回车归狭斜。,六朝
66,陇头水,刘孝威,从军戍陇头，陇水带沙流。时观胡骑饮，常为汉国羞。衅妻成两剑，杀子祀双钩。顿取楼兰颈，就解郅支裘。勿令如李广，功遂不封侯。,六朝
67,望隔墙花,刘孝威,隔墙花半隐，犹见动花枝。当由美人摘，讵止春风吹？,六朝
68,自君之出矣,刘义恭,自君之出矣，锦笥闭不开。思君如清风，晓夜常徘徊。,六朝
69,登景阳楼,刘义隆,崇堂临万雉，层楼跨九成。瑶轩笼翠幌，组幕翳云屏。阶上晓露洁，林下夕风清。蔓藻嬛绿叶，芳兰媚紫茎。极望周天险，留察浃神京。交渠纷绮错，列植发华英。士女眩街里，轩冕曜都城。万轸杨金镳，千轴树兰旌。,六朝
70,从武帝登景阳楼,柳恽,太液沧波起，长杨高树秋。翠华承汉远，雕辇逐风游。,六朝
71,捣衣五首,柳恽,孤衾引思绪，独枕怆忧端。深庭秋草绿，高门白露寒。思君起清夜，促柱奏幽兰。不怨飞蓬苦，徒伤蕙草残。,六朝
72,捣衣五首,柳恽,行役滞风波，游人淹不归。亭皋木叶下，陇首秋云飞。寒园夕鸟集，思牖草虫悲。嗟矣当春服，安见御冬衣。,六朝
73,捣衣五首,柳恽,鹤鸣劳永欢，采菉伤时暮。念君方远游，望妾理纨素。秋风吹绿潭，明月悬高树。佳人饰净容，招携从所务。,六朝
74,捣衣五首,柳恽,步栏杳不极，离堂肃已扃。轩高夕杵散，气爽夜碪鸣。瑶华随步响，幽兰逐袂生。踟蹰理金翠，容与纳宵清。,六朝
75,捣衣五首,柳恽,泛艳回烟彩，渊旋龟鹤文。凄凄合欢袖，冉冉兰麝芬。不怨杼轴苦，所悲千里分。垂泣送行李，倾首迟归云。,六朝
76,江南曲,柳恽,汀洲采白蘋，日落江南春。洞庭有归客，潇湘逢故人。故人何不返，春花复应晚。不道新知乐，只言行路远。,六朝
77,咏七宝扇,丘巨源,妙缟贵东夏，巧技出吴闉。裁状白玉璧，缝似明月轮。表里缕七宝，中衔骇鸡珍。画作景山树，图为河洛神。来延挥握玩，入与镮钏亲。生风长袖际，晞华红粉津。拂盻迎娇意，隐映含歌人。时移务忘故，节改竞存新。卷情随象簟，舒心谢锦茵。厌歇何足道，敬哉先后晨。,六朝
78,出郡传舍哭范仆射三首,任昉,平生礼数绝，式瞻在国桢。一朝万化尽，犹我故人情。待时属兴运，王佐俟民英。结欢三十载，生死一交情。携手遁衰孽，接景事休明。运阻衡言革，时泰玉阶平。浚冲得茂彦，夫子值狂生。伊人有泾渭，非余扬浊清。将乖不忍别，欲以遣离情。不忍一辰意，千龄万恨生。,六朝
79,出郡传舍哭范仆射三首,任昉,已矣平生事，咏歌盈箧笥。兼复相嘲谑，常与虚舟值。何时见范侯，还叙平生意。,六朝
80,出郡传舍哭范仆射三首,任昉,与子别几辰，经涂不盈旬。弗睹朱颜改，徒想平生人。宁知安歌日，非君撤瑟晨。已矣余何叹，辍舂哀国均。,六朝
81,答刘孝绰,任昉,阅水既成澜，藏舟遂移壑。彼美洛阳子，投我怀秋作。久敬类诚言，吹嘘似嘲谑。兼称夏云尽，复陈秋树索。讵慰耋嗟人，徒深老夫托。直史兼褒贬，辖司专疾恶。九折多美疹，匪报庶良药。子其崇锋颖，春耕励秋获。,六朝
82,赋得“边马有归心”诗,沈炯,穷秋边马肥，向塞甚思归。连镳渡蒲海，束舌下金微。已却鱼丽阵，将摧鹤翼围。弥忆长楸道，金鞭背落晖。,六朝
83,咏老马诗,沈炯,昔日从戎阵，流汗几东西。一日驰千里，三丈拔深泥。渡水频伤骨，翻霜屡损蹄。勿言年齿暮，寻途尚不迷。,六朝
84,长安还至方山怆然自伤诗,沈炯,秦军坑赵卒，遂有一人生。虽还旧乡里，危心曾未平。淮源比桐柏，方山似削成。犹疑屯虏骑，尚畏值胡兵。空村馀拱木，废邑有颓城。旧识既已尽，新知皆异名。百年三万日，处处此伤情。,六朝
85,别范安成,沈约,生平少年日，分手易前期。及尔同衰暮，非复别离时。勿言一樽酒，明日难重持。梦中不识路，何以慰相思？,六朝
86,饯谢文学离夜,沈约,汉池水如带。巫山云似盖。瀄汩背吴潮。潺湲横楚濑。一望沮漳水。宁思江海会。以我径寸心。从君千里外。,六朝
87,临高台,沈约,高台不可望。望远使人愁。连山无断绝。河水复悠悠。所思竟何在。洛阳南陌头。可望不可见。何用解人忧。,六朝
88,伤王融,沈约,元长秉奇调，弱冠慕前踪。眷言怀祖武，一篑望成峰。途艰行易跌，命舛志难逢。折风落迅羽，流恨满青松。,六朝
89,游钟山诗应西阳王教（五章）,沈约,灵山纪地德，地险资岳灵。终南表秦观，少室迩王城。翠凤翔淮海，衿带绕神坰。北阜何其峻，林薄杳葱青。,六朝
90,游钟山诗应西阳王教（五章）,沈约,发地多奇岭，干云非一状。合沓共隐天，参差互相望。郁律构丹巘，崚嶒起青嶂。势随九疑高，气与三山壮。,六朝
91,游钟山诗应西阳王教（五章）,沈约,即事既多美，临眺殊复奇。南瞻储胥观，西望昆明池。山中咸可悦，赏逐四时移。春光发陇首，秋风生桂枝。,六朝
92,游钟山诗应西阳王教（五章）,沈约,多值息心侣，结架山之足。八解鸣涧流，四禅隐岩曲。窈冥终不见，萧条无可欲。所愿从之游，寸心于此足。,六朝
93,游钟山诗应西阳王教（五章）,沈约,君王挺逸趣，羽旆临崇基。白云随玉趾，青霞杂桂旗。淹留访五药，顾步伫三芝。于焉仰镳驾，岁暮以为期。,六朝
94,游故苑诗,昙瑗,丹阳松叶少，白水黍苗多。浸淫下客泪，哀怨动民歌。春溪度短葛，秋浦没长莎。麋鹿自腾倚，车骑绝经过。萧条四野望，惆怅将如何。,六朝
95,诏问山中何所有赋诗以答,陶弘景,山中何所有，岭上多白云。只可自怡悦，不堪持寄君。,六朝
96,大言应令诗,王规,俯身望日入。下视见星罗。嘘八风而为气。吹四海而扬波。,六朝
97,入若耶溪,王籍,艅艎何泛泛，空水共悠悠。阴霞生远岫，阳景逐回流。蝉噪林逾静，鸟鸣山更幽。此地动归念，长年悲倦游。,六朝
98,春日家园,王俭,徙倚未云暮，阳光忽已收。羲和远停晷，壮士岂淹留。冉冉老将至，功名竟不修。稷契匡虞夏，伊吕翼商周。抚躬谢先哲，解绂归山丘。,六朝
99,春诗二首,王俭,兰生已匝苑，萍开欲半池。轻风摇杂花，细雨乱丛枝。,六朝
100,春诗二首,王俭,风光承露照，雾色点兰晖。青荑结翠藻，黄鸟弄春飞。,六朝
101,咏舞诗,王暕,从风回绮袖，映日转花钿。同情依促柱，共影赴危弦。,六朝
102,饯谢文学离夜诗,王融,所知共歌笑，谁忍别笑歌。离轩思黄鸟，分渚薆青莎。翻情结远旆，洒泪与行波。春江夜明月，还望情如何。,六朝
103,白马篇,王僧孺,千里生冀北，玉鞘黄金勒。散蹄去无己，摇头意相得。豪气发西山，雄风擅东国。飞鞚出秦陇，长驱绕岷僰。承谟若有神，禀算良不惑。瀄汨河水黄，参差嶂云黑。安能对儿女，垂帷弄毫墨。兼弱不称雄，后得方为特。此心亦何已，君恩良未塞。不许跨天山，何由报皇德。,六朝
104,春日寄乡友,王僧孺,旅心已多恨，春至尚离群。翠枝结斜影，绿水散圆文。戏鱼两相顾，游鸟半藏云。何时不悯默，是日最思君。,六朝
105,古意,王僧孺,青丝控燕马，紫艾饰吴刀。朝风吹锦带，落日映珠袍。陆离关右客，照曜出西豪。虽非学诡遇，终是任逢遭。人生会有死，得处如鸿毛。宁能偶鸡鹜，寂寂隐蓬蒿。,六朝
106,寄何记室,王僧孺,思君不得见，望望独长嗟。夜风入寒水，晚露拂秋花。何由假日御，暂得寄风车。,六朝
107,中川长望,王僧孺,长川杳难即，四望四无极。安流宁可值，愤风方未息。危帆渡中悬，孤光岩下昃。岸际树难辨，云中鸟易识。莫恨东复西，谁知迂且直。故乡相思者，当春爱颜色。独写千行泪，谁同万里忆。,六朝
108,望夕霁,王筠,连山卷乱云，长林息众籁。密树含绿滋，遥峰凝翠霭。石溜正潨潺，山泉始澄汰。物华方入赏，跂予心期会。,六朝
109,行路难,王筠,千门皆闭夜何央，百忧俱集断人肠。探揣箱中取刀尺，拂拭机上断流黄。情人逐情虽可恨，复畏边远乏衣裳。已缲一茧催衣缕，复捣百和薰衣香。犹忆去时腰大小，不知今日身短长。裲裆双心共一袜，袙复两边作八撮。襻带虽安不忍缝，开孔裁穿犹未达。胸前却月两相连，本照君心不照天。愿君分明得此意，勿复流荡不如先。含悲含怨判不死，封情忍思待明年。,六朝
110,杂曲,王筠,可怜洛城东，芳树摇春风。丹霞映白日，细雨带轻虹。,六朝
111,酬别江主簿屯骑,吴均,有客告将离，赠言重兰蕙。泛舟当泛济，结交当结桂。济水有清源，桂树多芳根。毛公与朱亥，俱在信陵门。赵瑟凤凰柱，吴醥金罍樽。我有北山志，留连为报恩。夫君皆逸翮，抟景复凌骞。白云间海树，秋日暗平原。寒虫鸣趯趯，落叶飞翻翻。何用赠分手，自有北堂萱。,六朝
112,古意二首,吴均,杂虏寇铜鍉，征役去三齐。扶山剪疏勒，傍海扫沈黎。剑光夜挥电，马汗昼成泥。何当见天子，画地取关西。,六朝
113,古意二首,吴均,西都盛冠盖，九逵尘雾塞。中有恶少年，伎能专自得。玉鞭莲花剑，金苣流星勒。聊为路傍人，写鞚长楸北。,六朝
114,夹树,吴均,桂树夹长陂，复值清风吹。氛氲揉芳叶，连绵交密枝。能迎春露点，不逐秋风移。愿君长惠爱，当使岁寒知。,六朝
115,山中杂诗,吴均,山际见来烟，竹中窥落日。鸟向檐上飞，云从窗里出。,六朝
116,行路难,吴均,洞庭水上一株桐，经霜触浪困严风。昔时抽心曜白日，今旦卧死黄沙中。洛阳名工见咨嗟，一翦一刻作琵琶。白璧规心学明月，珊瑚映面作风花。帝王见赏不见忘，提携把握登建章。掩抑摧藏张女弹，殷勤促柱楚明光。年年月月对君王，遥遥夜夜宿未央。未央彩女弃鸣篪，争先拂拭生光仪。茱萸锦衣玉作匣，安念昔日枯树枝。不学衡山南岭桂，至今千载犹未知。青琐门外安石榴，连枝接叶夹御沟。金墉城西合欢树，垂条照彩拂凤楼。游侠少年游上路，倾心颠倒相恋慕。摩顶至足买片言，开胸沥胆取一顾。自言家在赵邯郸，翩翩舌杪复剑端。青骊白驳的卢马，金羁绿控紫丝鞶。躞蹀横行不止进，夜夜汗血至长安。长安城中诸贵臣，争贵儒者席上珍。复闻梁王好学问，轻弃剑客如埃尘。吾丘寿王始得意，司马相如适被申。大才大辩尚如此，何况我辈轻薄人。君不见西陵田，从横十字成陌阡君不见东郊道，荒凉芜没起寒烟。尽是昔日帝王处，歌姬舞女达天曙。今日翩妍少年子，不知华盛落前去。吐心吐气许他人，今旦回惑生犹豫。山中桂树自有枝，心中方寸自相知。何言岁月忽若驰，君之情意与我离。还君玳瑁金雀钗，不忍见此便心危。君不见上林苑中客，冰罗雾縠象牙席。尽是得意忘言者，探肠见胆无所惜。白酒甜盐甘如乳，绿觞皎镜华如碧。少年持名不肯尝，安知白驹应过隙。博山炉中百和香，郁金苏合及都梁。逶迤好气佳容貌，经过青琐历紫房。已入中山冯后帐，复上皇帝班姬床。班姬失宠颜不开，奉帚供养长信台。日暮耿耿不能寐，秋风切切四面来。玉阶行路生细草，金炉香炭变成灰。得意失意须臾顷，非君方寸逆所裁。,六朝
117,咏宝剑,吴均,我有一宝剑，出自昆吾溪。照人如照水，切玉如切泥。锷边霜凛凛，匣上风凄凄。寄语张公子，何当来见携？,六朝
118,有所思,吴均,薄暮有所思，终持泪煎骨。春风惊我心，秋露伤君发。,六朝
119,赠王桂阳,吴均,松生数寸时，遂为草所没。未见笼云心，谁知负霜骨。弱干可摧残，纤茎易陵忽。何当数千尺，为君覆明月。,六朝
120,群鹤咏,萧道成,八风儛遥翮，九野弄清音。一摧云间志，为君苑中禽。,六朝
121,采莲曲二首,萧纲,晚日照空矶，采莲承晚晖。风起湖难度，莲多摘未稀。棹动芙蓉落，船移白鹭飞。荷丝傍绕腕，菱角远牵衣。,六朝
122,采莲曲二首,萧纲,常闻蕖可爱，采撷欲为裙。叶滑不留綖，心忙无假薰。千春谁与乐，唯有妾随君。,六朝
123,从军行,萧纲,贰师惜善马，楼兰贪汉财。前年出右地，今岁讨轮台。鱼云望旗聚，龙沙随阵开。冰城朝浴铁，地道夜衔枚。将军号令密，天子玺书催。何时反旧里，遥见下机来。,六朝
124,从军行,萧纲,云中亭障羽檄惊。甘泉烽火通夜明。贰师将军新筑营。嫖姚校尉初出征。复有山西将。绝世爱雄名。三门应遁甲。五垒学神兵。白云随阵色。苍山答鼓声。逦迤观鹅翼。参差睹雁行。先平小月阵。去灭大宛城。善马还长乐。黄金付水衡。小妇赵人能鼓瑟。侍婢初笄解郑声。庭前柳絮飞已合。必应红妆起见迎。,六朝
125,度关山,萧纲,关山远可度。远度复难思。直指遮归道。都护总前期。力农争地利。转战逐天时。材官蹶张皆命中。弘农越骑尽搴旗。搴旗远不息。允虏何穷极。狼居一封难再睹。阏氏永去无容色。锐气且横行。朱旗乱日精。先屠光禄塞。却破夫人城。凯歌还旧里。非是炫轼名。,六朝
126,和湘东王横吹曲三首,萧纲,杨柳乱成丝，攀折上春时。叶密鸟飞碍，风轻花落迟。城高短箫发，林空画角悲。曲中无别意，并是为相思。,六朝
